,precision,recall,f1-score,support,y_variable,model
-1.0,1.0,1.0,1.0,778.0,pe_Entry/Exit_sma,Random Forest Classifier
0.0,1.0,1.0,1.0,875.0,pe_Entry/Exit_sma,Random Forest Classifier
1.0,1.0,1.0,1.0,866.0,pe_Entry/Exit_sma,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,pe_Entry/Exit_sma,Random Forest Classifier
macro avg,1.0,1.0,1.0,2519.0,pe_Entry/Exit_sma,Random Forest Classifier
weighted avg,1.0,1.0,1.0,2519.0,pe_Entry/Exit_sma,Random Forest Classifier
-1.0,0.39775561097256856,0.41002570694087404,0.4037974683544304,778.0,pe_Entry/Exit_sma,Logistic Regression
0.0,0.400726392251816,0.3782857142857143,0.38918283362727807,875.0,pe_Entry/Exit_sma,Logistic Regression
1.0,0.48709315375982043,0.5011547344110855,0.4940239043824701,866.0,pe_Entry/Exit_sma,Logistic Regression
accuracy,0.43032949583167923,0.43032949583167923,0.43032949583167923,0.43032949583167923,pe_Entry/Exit_sma,Logistic Regression
macro avg,0.4285250523280683,0.4298220518792246,0.42900140212139287,2519.0,pe_Entry/Exit_sma,Logistic Regression
weighted avg,0.4295006469682421,0.43032949583167923,0.42973962326273696,2519.0,pe_Entry/Exit_sma,Logistic Regression
-1.0,0.4410801963993453,0.6573170731707317,0.5279138099902057,820.0,pe_Entry/Exit_ema,Naive Bayes
0.0,0.6101694915254238,0.40540540540540543,0.4871447902571042,888.0,pe_Entry/Exit_ema,Naive Bayes
1.0,0.5145385587863464,0.4547486033519553,0.48279952550415184,895.0,pe_Entry/Exit_ema,Naive Bayes
accuracy,0.501728774490972,0.501728774490972,0.501728774490972,0.501728774490972,pe_Entry/Exit_ema,Naive Bayes
macro avg,0.5219294155703719,0.5058236939760308,0.49928604191715387,2603.0,pe_Entry/Exit_ema,Naive Bayes
weighted avg,0.5240216210663924,0.501728774490972,0.4984938429759866,2603.0,pe_Entry/Exit_ema,Naive Bayes
-1.0,1.0,1.0,1.0,820.0,pe_Entry/Exit_ema,Random Forest Classifier
0.0,1.0,1.0,1.0,888.0,pe_Entry/Exit_ema,Random Forest Classifier
1.0,1.0,1.0,1.0,895.0,pe_Entry/Exit_ema,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,pe_Entry/Exit_ema,Random Forest Classifier
macro avg,1.0,1.0,1.0,2603.0,pe_Entry/Exit_ema,Random Forest Classifier
weighted avg,1.0,1.0,1.0,2603.0,pe_Entry/Exit_ema,Random Forest Classifier
-1.0,0.3498419388830348,0.40487804878048783,0.37535330695308083,820.0,pe_Entry/Exit_ema,Logistic Regression
0.0,0.32779097387173395,0.3108108108108108,0.3190751445086705,888.0,pe_Entry/Exit_ema,Logistic Regression
1.0,0.4125615763546798,0.3743016759776536,0.39250146455770357,895.0,pe_Entry/Exit_ema,Logistic Regression
accuracy,0.3622742988859009,0.3622742988859009,0.3622742988859009,0.3622742988859009,pe_Entry/Exit_ema,Logistic Regression
macro avg,0.3633981630364828,0.3633301785229841,0.362309972006485,2603.0,pe_Entry/Exit_ema,Logistic Regression
weighted avg,0.3638845123010475,0.3622742988859009,0.36205042289833667,2603.0,pe_Entry/Exit_ema,Logistic Regression
