"Date","GOOGL P/S (LTM)","MMM P/S (LTM)","NVDA P/S (LTM)","PG P/S (LTM)","GOOGL Open","GOOGL Low","GOOGL High","GOOGL Close","GOOGL Adj. Close","MMM Open","MMM Low","MMM High","MMM Close","MMM Adj. Close","NVDA Open","NVDA Low","NVDA High","NVDA Close","NVDA Adj. Close","PG Open","PG Low","PG High","PG Close","PG Adj. Close","GOOGL P/FCF (LTM)","MMM P/FCF (LTM)","NVDA P/FCF (LTM)","NVDA P/FCF (LTM)","PG P/FCF (LTM)","GOOGL P/E (LTM)","MMM P/E (LTM)","NVDA P/E (LTM)","PG P/E (LTM)","GOOGL Debt/Equity (LTM)","MMM Debt/Equity (LTM)","NVDA Debt/Equity (LTM)","PG Debt/Equity (LTM)"
04-11-2018,LOCKED,LOCKED,LOCKED,LOCKED,51.6,50.96,51.7935,51.253,51.253,141.1653499746906,140.7021821651929,142.27845531083398,214.33,141.250365124698,56.261505254582254,55.67020378938848,56.6738569670196,56.56,55.996669520904,66.635991180976,66.50815643641602,67.062106996176,78.27,66.704169711408,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
04-12-2018,LOCKED,LOCKED,LOCKED,LOCKED,51.5735,51.3025,52.2325,51.8645,51.8645,142.16641984183198,141.69850700070597,143.458122896208,216.42,142.627742361252,56.92730723925,56.48547708206398,58.244060606697,58.65,58.065853384035,67.019495414656,66.29509852881601,67.07062931248001,77.79,66.29509852881601,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
04-13-2018,LOCKED,LOCKED,LOCKED,LOCKED,52.3445,51.5075,52.649,51.802,51.802,143.728326086154,141.336039306876,144.117155066808,215.52,142.034613407712,58.70195416492575,56.815927725086254,58.78610757562725,57.875,57.2985722864625,66.525201069024,66.23970347284,66.844787930424,78.37,66.78939287444801,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
04-16-2018,LOCKED,LOCKED,LOCKED,LOCKED,52.2775,51.696,52.571475,52.305,52.305,143.14178745432,142.73977783025398,144.505984047462,217.7,143.47130353961998,57.365895015023696,56.353083966228006,57.630235728639,57.8725,57.29609718614776,66.951316884224,66.50815643641602,67.20698637334401,78.61,66.993928465744,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
04-17-2018,LOCKED,LOCKED,LOCKED,LOCKED,53.06,52.854505,54.25,53.968,53.968,144.42690018699,144.156696997044,146.10084190031398,220.09,145.046390427354,57.81834335256,57.26144578174125,59.00639150364,59.385,58.7935328765715,67.266642587472,66.555029176088,67.275164903776,78.43,66.84052677227201,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
04-18-2018,LOCKED,LOCKED,LOCKED,LOCKED,53.9505,53.52575,54.1,53.7695,53.7695,145.244100078534,144.433490508696,145.652700024306,219.52,144.670742090112,58.2886124123625,57.61291002643576,59.21677503039375,59.0925,58.50394613974575,66.968361516832,66.491111803808,67.053584679872,78.2,66.64451349728,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
04-19-2018,LOCKED,LOCKED,LOCKED,LOCKED,53.451,53.451,54.8755,54.4725,54.4725,143.695374477624,143.029751985318,144.52575501258,218.85,144.22919053580998,57.35921224417388,56.135275138530005,57.6945883368225,57.26,56.689697609034,64.844454158064,63.82091124192,65.128293790272,74.95,64.46600131512,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
04-20-2018,LOCKED,LOCKED,LOCKED,LOCKED,54.2135,53.605,54.7375,53.866,53.866,143.939216380746,142.838632655844,145.171606539768,217.75,143.50425514814998,56.60306909801775,56.29615665898875,57.447078305347496,57.1775,56.60801929864725,63.683292026304,63.425255997024,64.440197712192,73.8,63.47686320288,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
04-23-2018,LOCKED,LOCKED,LOCKED,LOCKED,54.149,53.334,54.4,53.6905,53.6905,143.682193834212,141.52715863634998,144.15010667533798,215.88,142.27186498912798,56.78622652130925,55.15266031357425,57.2985722864625,55.97,55.412545846623,63.296237982384,62.582338301376005,63.631684820448,73,62.7887671248,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
04-24-2018,LOCKED,LOCKED,LOCKED,LOCKED,52.96,50.64275,53.2245,51.132,51.132,136.0901432289,129.75684406943398,136.0901432289,201.13,132.551140472778,55.669956279357,54.095792479176,56.63029520148,55.3,54.74921896227,62.840374330656,62.05766504184,63.072606757008,72.5,62.358707076,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,,,
