Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,PG,PG,PG,PG,PG,PG,MMM,MMM,MMM,MMM,MMM,MMM
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-10,108.55000305175781,113.51000213623047,108.4800033569336,112.27999877929688,112.27999877929688,47533500,290.04998779296875,291.1300048828125,284.6099853515625,288.8500061035156,288.7574157714844,36935000,153.4499969482422,154.32000732421875,152.44000244140625,154.02999877929688,151.15093994140625,4754900,84.77424621582031,85.033447265625,83.27759552001953,84.36454772949219,78.324462890625,3281944
2023-05-11,115.86000061035156,118.44000244140625,114.93000030517578,116.9000015258789,116.9000015258789,57115100,288.9599914550781,289.5,282.4599914550781,285.7799987792969,285.6883850097656,32214900,154.80999755859375,154.88999938964844,153.38999938964844,154.38999938964844,151.5042266845703,3495300,84.03009796142578,84.44815826416016,83.44481658935547,84.26421356201172,78.2313232421875,3317704
2023-05-12,117.0,118.26000213623047,116.55000305175781,117.91999816894531,117.91999816894531,31272500,285.2900085449219,287.79998779296875,280.4599914550781,283.3999938964844,283.3091125488281,27402700,154.6999969482422,156.0500030517578,154.38999938964844,155.9600067138672,153.0448760986328,5252200,84.62374877929688,84.67391204833984,83.00167083740234,83.8377914428711,77.8354263305664,2937496
2023-05-15,116.48999786376953,118.79499816894531,116.4800033569336,116.95999908447266,116.95999908447266,22107900,285.0799865722656,289.69000244140625,281.5199890136719,289.5299987792969,289.4371643066406,29392600,156.61000061035156,156.75,154.63999938964844,156.00999450683594,153.0939483642578,5414900,83.67057037353516,84.30602264404297,83.00167083740234,84.02173614501953,78.0062026977539,2878772
2023-05-16,116.83000183105469,121.19999694824219,116.83000183105469,120.08999633789062,120.08999633789062,32370100,288.4100036621094,298.70001220703125,288.32000732421875,292.1300048828125,292.0363464355469,44940500,155.8699951171875,156.9199981689453,154.92999267578125,155.74000549316406,152.82901000976562,5591500,83.6120376586914,83.6454849243164,81.9397964477539,81.94815826416016,76.08108520507812,4476748
2023-05-17,120.18000030517578,122.27999877929688,119.45999908447266,121.4800033569336,121.4800033569336,26659600,295.8399963378906,301.989990234375,294.29998779296875,301.7799987792969,301.6832580566406,43253500,156.25999450683594,156.55999755859375,153.89999389648438,155.0800018310547,152.18133544921875,4286900,82.29096984863281,83.8712387084961,81.9397964477539,83.76254272460938,77.76556396484375,4279288
2023-05-18,121.55999755859375,123.9000015258789,121.48999786376953,123.5199966430664,123.5199966430664,27014500,304.1000061035156,318.2799987792969,303.20001220703125,316.7799987792969,316.67840576171875,74872500,153.30999755859375,153.64999389648438,151.60000610351562,152.52999877929688,149.67898559570312,6997600,82.30769348144531,83.47826385498047,81.9899673461914,83.31103515625,78.7567367553711,3485503
2023-05-19,124.19999694824219,126.47899627685547,122.72000122070312,123.25,123.25,30251300,315.3599853515625,315.79998779296875,309.1600036621094,312.6400146484375,312.5397644042969,47312400,152.47000122070312,153.32000732421875,151.83999633789062,153.1699981689453,150.30702209472656,4752700,83.8210678100586,84.00502014160156,82.5,82.8010025024414,78.27458953857422,3229080
2023-05-22,123.51000213623047,127.05000305175781,123.44999694824219,125.87000274658203,125.87000274658203,29760200,309.010009765625,315.20001220703125,306.79998779296875,311.760009765625,311.6600646972656,37200000,152.5,152.60000610351562,148.8300018310547,149.16000366210938,146.37197875976562,7876200,82.67558288574219,85.3177261352539,82.20735931396484,85.04180908203125,80.39289855957031,5008011
2023-05-23,124.93000030517578,125.41999816894531,123.05000305175781,123.29000091552734,123.29000091552734,24477900,310.0,312.8800048828125,306.30999755859375,306.8800048828125,306.7816162109375,35625300,148.7899932861328,148.8800048828125,147.07000732421875,147.5500030517578,144.79208374023438,6116000,85.04180908203125,85.98662567138672,84.16387939453125,84.19732666015625,79.5945816040039,4324975
2023-05-24,121.87999725341797,122.75,120.75,121.63999938964844,121.63999938964844,23087900,302.1000061035156,306.07000732421875,298.05999755859375,305.3800048828125,305.2821044921875,72141900,147.58999633789062,148.1999969482422,146.08999633789062,146.3300018310547,143.59487915039062,5755400,83.98829650878906,84.19732666015625,81.07859802246094,81.09532165527344,76.66215515136719,4942590
