,precision,recall,f1-score,support,y_variable,model
-1.0,0.9988826815642458,1.0,0.9994410285075461,894.0,pe_Entry/Exit_sma,Random Forest Classifier
0.0,1.0,0.9976931949250288,0.9988452655889145,867.0,pe_Entry/Exit_sma,Random Forest Classifier
1.0,0.9989165763813651,1.0,0.9994579945799458,922.0,pe_Entry/Exit_sma,Random Forest Classifier
accuracy,0.9992545657845695,0.9992545657845695,0.9992545657845695,0.9992545657845695,pe_Entry/Exit_sma,Random Forest Classifier
macro avg,0.9992664193152035,0.9992310649750097,0.9992480962254687,2683.0,pe_Entry/Exit_sma,Random Forest Classifier
weighted avg,0.9992553860387828,0.9992545657845695,0.9992543405717649,2683.0,pe_Entry/Exit_sma,Random Forest Classifier
-1.0,0.5162659123055162,0.4082774049217002,0.4559650218613367,894.0,pe_Entry/Exit_sma,Logistic Regression
0.0,0.5598705501618123,0.3990772779700115,0.465993265993266,867.0,pe_Entry/Exit_sma,Logistic Regression
1.0,0.4808541973490427,0.7082429501084598,0.5728070175438597,922.0,pe_Entry/Exit_sma,Logistic Regression
accuracy,0.508386134923593,0.508386134923593,0.508386134923593,0.508386134923593,pe_Entry/Exit_sma,Logistic Regression
macro avg,0.5189968866054571,0.5051992110000572,0.4982551017994874,2683.0,pe_Entry/Exit_sma,Logistic Regression
weighted avg,0.5181875000176072,0.508386134923593,0.4993577940125364,2683.0,pe_Entry/Exit_sma,Logistic Regression
-1.0,0.4209245742092457,0.1913716814159292,0.2631178707224334,904.0,pe_Entry/Exit_ema,Naive Bayes
0.0,0.71,0.40993071593533487,0.5197657393850659,866.0,pe_Entry/Exit_ema,Naive Bayes
1.0,0.3904653802497162,0.7619047619047619,0.5163227016885553,903.0,pe_Entry/Exit_ema,Naive Bayes
accuracy,0.4549195660306771,0.4549195660306771,0.4549195660306771,0.4549195660306771,pe_Entry/Exit_ema,Naive Bayes
macro avg,0.507129984819654,0.4544023864186753,0.43306877059868487,2673.0,pe_Entry/Exit_ema,Naive Bayes
weighted avg,0.5042895822860651,0.4549195660306771,0.4318051197401093,2673.0,pe_Entry/Exit_ema,Naive Bayes
-1.0,1.0,1.0,1.0,904.0,pe_Entry/Exit_ema,Random Forest Classifier
